,ID,SMILES,RI,Tg,TC,MW_ratio,Mass_ave,K_bond_min,K_bond_ave,K_ang_ave,Theta0_ave,K_dih_max,K_dih_ave,VE1_A,AATS0d,AATS0Z,BalabanJ,HybRatio,SaasC,ETA_dBeta,IC1,IC3,MIC1,Mor14,SMR_VSA5,VSA_EState4,VSA_EState8,VR3_A,nN,AATS2d,ATSC1d,ATSC3d,Xch-6d,SlogP_VSA1,SMILES,Monomer_length,Mass_max,nH,ATSC2Z,ATSC5Z,AATSC0Z,AATSC2Z,BCUTd-1h,BCUTZ-1h,nHBDon,MIC0,Kier3,Mor02,Mor19,SMR_VSA1,SMR_VSA3
31,PI36,*C(C*)C(CC)CC,1.446,-2.73346049,0.243101437,0.285714286,4.675666667,218.51,327.5028571,49.00807143,109.7514286,0.29,0.133439153,2.718002247,2.086956522,11.56521739,3.499480331,1,0,-4.5,1.945172004,3.24052826,14.88654923,1.243953722,40.03367647,0,6.420277778,3.137560265,0,2.238095238,3.516068053,-6.693761815,0,0,*C(C*)C(CC)CC,2.66,12.011,14,-28.19092628,-10.74858223,5.63705104,-0.67121253,3.116770546,6.207093485,0,6.713071846,2.88,27.78573009,1.160274239,0,0
32,PI37,*C(C*)CC(CC)CC,1.454,-11.69358888,0.26234017,0.25,4.675666667,218.51,327.58,48.94879167,109.7483333,0.29,0.131111111,2.886884495,2.076923077,11.69230769,3.41225687,1,0,-5,1.902174814,3.488525295,14.68536883,1.408237627,46.45449809,0,6.405492252,3.422992661,0,2.229166667,2.520710059,-2.804733728,0,0,*C(C*)CC(CC)CC,2.63,12.011,16,-35.62130178,-41.50295858,5.633136095,-0.742110454,3.038418091,6.210012549,0,6.718790131,4.48,27.74774517,1.498919795,0,0
33,PI38,*C(C*)CC(CC)C,1.46,-19.09908049,0.263746378,0.285714286,4.675666667,218.51,327.5028571,49.0102381,109.7530952,0.29,0.128571429,2.770783021,2.086956522,11.56521739,3.223046904,1,0,-4.5,1.945172004,3.849223912,14.88654923,1.129065516,40.03367647,0,6.425037793,3.118828235,0,2.214285714,1.516068053,-1.95463138,0,0,*C(C*)CC(CC)C,2.69,12.011,14,-28.19092628,-13.58034026,5.63705104,-0.67121253,3.036369908,6.205922214,0,6.713071846,4.5,30.6248895,1.144390136,0,0
34,PI39,*C(C*)CC(C)(C)C,1.454,95.47215053,0.234660455,0.285714286,4.675666667,218.51,327.5028571,49.49671429,109.7288095,0.155555556,0.113650794,2.742119756,2.260869565,11.56521739,3.467261091,1,0,-4.5,1.912350808,2.902509238,14.49233385,0.862351275,40.53659204,0.625740741,8.795347222,3.123669405,0,2.523809524,0.516068053,-1.128544423,0,0,*C(C*)CC(C)(C)C,2.71,12.011,14,21.80907372,-52.80340265,5.63705104,0.51926366,4.017047835,6.225701969,0,6.713071846,5.87755102,29.62826768,1.381704214,0,0
35,PI40,*C(C*)CC(CC)(C)C,1.459,57.53356422,0.232292247,0.25,4.675666667,218.51,327.58,49.37445833,109.7270833,0.29,0.121527778,2.83971151,2.230769231,11.69230769,3.641862452,1,0,-5,1.902174814,3.613337314,14.68536883,1.315770285,46.95741367,0.667407407,8.868394274,3.448976435,0,2.479166667,2.520710059,-3.804733728,0,0,*C(C*)CC(CC)(C)C,2.78,12.011,16,14.37869822,-18.27218935,5.633136095,0.299556213,4.018005551,6.228452622,0,6.718790131,4.48,28.92616604,1.319580271,0,0
36,PI41,*C(C*)CCCC(C)(C)C,1.453,19.08821685,0.257288867,0.222222222,4.675666667,218.51,327.64,49.27937037,109.7257407,0.29,0.120493827,2.977040638,2.206896552,11.79310345,3.275716275,1,0,-5.5,1.872862891,3.43438746,14.60017476,1.378293293,53.37823529,0.58336593,8.775738379,3.792338628,0,2.407407407,0.524375743,-0.099881094,0,0,*C(C*)CCCC(C)(C)C,2.69,12.011,18,6.757431629,-4.794292509,5.62901308,0.125137623,4.017031113,6.227310742,0,6.722801821,7.901234568,31.84132272,1.187959276,0,0
37,PI42,*C(C*)CCC1CCCCC1,1.478,29.65467425,0.251637679,0.202921608,4.937642857,218.51,321.08,49.9889,109.9466667,0.29,0.133131313,3.189724949,2.333333333,12.6,2.045533325,1,0,-6.5,1.683219446,3.606238929,12.22347178,1.749352543,58.29031018,0,1.728888889,4.100218774,0,2.5,0.6,-1.48,0.102062073,0,*C(C*)CCC1CCCCC1,2.63,12.011,18,-56.8,8.88,5.84,-0.946666667,3.030821525,6.220990329,0,6.791378323,4,37.72196217,1.847783065,0,0
38,PI43,*C(C*)CCCC1CCCCC1,1.471,28.99341244,0.265537579,0.184229532,4.912290323,218.51,321.74,49.85524242,109.9256061,0.29,0.13212963,3.238429978,2.303030303,12.60606061,1.975600593,1,0,-7,1.637164971,3.521222528,11.90216092,2.34856889,64.71113181,0,1.726851852,4.428323987,0,2.46969697,0.636363636,-2.435261708,0.102062073,0,*C(C*)CCCC1CCCCC1,2.68,12.011,20,-65.12121212,14.14325069,5.814508724,-0.986685032,3.030232297,6.221725985,0,6.787022594,4.6875,45.25715295,1.723439579,0,0
39,PI44,*C1(CCC(CC1)C)C*,1.448,108.094628,0.21062304,0.872709127,5.009090909,218.51,319.2808696,50.74983333,110.124375,0.29,0.13654321,2.952859238,2.583333333,12.58333333,2.38195625,1,0,-5.5,1.947338796,3.470175521,14.81022812,1.479255886,45.44866694,0,4.168185941,3.486137238,0,2.791666667,2.5,-4.270833333,0.072168784,0,*C1(CCC(CC1)C)C*,2.77,12.011,14,-20.16666667,52.20833333,5.909722222,-0.420138889,4.018948023,6.223766841,0,6.802894788,1.991111111,30.65891155,1.527997375,0,0
40,PI45,*C(C*)(CCC)C,1.459,14.66646697,0.243076256,0.333333333,4.675666667,218.51,327.4477778,49.33541667,109.9352778,0.29,0.137469136,2.552449407,2.2,11.4,3.373381553,1,0,-4,1.870950594,3.546439345,13.6167203,0.694408599,39.53076089,0,6.486180556,2.8541099,0,2.277777778,1.51,-3.05,0,0,*C(C*)(CCC)C,2.76,12.011,12,-26.04,-27.68,5.64,-0.723333333,4.017985049,6.199125579,0,6.704524917,3.673469388,27.61105999,0.88494927,0,0
